프로그램명,신청대상,프로그램 목표,프로그램 주요내용,프로그램 분류,학부,학적,학년,창의·혁신역량,자기주도적 학습역량,지식·정보·기술 활용역량,의사소통 역량,대인관계역량,세계시민역량,프로그램 목표_키워드,프로그램 주요내용_키워드
동문선배특강 유튜버 출간 작가 1인 기업 창업가 전 아모레퍼시픽1125,학부KFL학부,졸업 후 다양한 분야에서 활동하는 선배들의 활동을 통해 졸업 후 본인의 다양한 진로에 대해 고민하고 생각해 보는 것을 목표로 한다.,"졸업 후 대기업 입사가 정답일까요 행복한 삶을 위한 나만의 직업을 찾고 싶다면 함께해요 
남들이 선망하는 대기업아모레퍼시픽 퇴사 후 1인기업 창업가 선배님이 알려주는 진로와 취업 그리고 행복에 대해서 이야기 나누어 봐요
강사  윤지비활동명 세르비아 크로아티아 14년 졸업 선배
특강 사전 질문 작성하기   httpsdocsgooglecomformsd1KU8xgoML3SwTYo4gVfniTiripqRDwgss4F4rzg48zwedit
youtube youtubecomc윤지비나답게살아가는이야기
Blog httpsblognavercomyj0410happy
Instagram yunzip
 특강 세부내용 
  대기업 직무 선택 이유 취직 준비 
  대기업 직장생활 현실에 대한 이야기 
  대기업 취직 외 열린 다양한 길 창업 프리워커 1인기업 등
  나와 어울리는 직업을 찾는 방법
  직업과 행복에 대한 이야기
 진로와 취업에 고민하는 학생들은 참가 신청해주셔요
  ",진로취업프로그램강의형,전체,전체,전체,0,25,25,0,25,25,"활동하는, 고민하고, 선배들의, 본인의, 활동을, 생각해, 통해, 졸업, 한다, 대해","직업과, 직장생활, 아모레퍼시픽, 신청해주셔요, 진로와, 작성하기, 1인기업, 직업을, 학생들은, 입사가"
해외재직동문특강 7회차 홍콩편前 블룸버그LPSales  Relationship Manager 골드만삭스Equity Sales Trader,학부KFL학부,동문 선배의 이야기를 통해 해외취업을 이해한다.,"진로취업지원센터 2021 해외재직동문특강 7회차 홍콩편
이번 7회차는 Bloomberg LP KB증권 골드만삭스 등 국내외 굴지의 투자금융 기업에서 활약하시며 현재는 다양한 커리어를 바탕으로 현재 홍콩경영대학원 Assistant Director로 계신 영미문화전공 02학번 서은진동문의 강연으로 진행됩니다
동문님께서는 현재 취업 멘토로 활발히 활동하고 계시기에 영문이력서 작성에 관해서도 많은 꿀팁을 전수해주실 예정입니다
관심있는 학생들의 많은 참여 바랍니다
 강연 일정 2021년 11월 18일 목요일 오후 3시  5시 
신청 마감 2021년 11월 17일 수요일 밤 23시 59분까지 18일 목요일 오후 12시까지 시간 연장
                  사전 질문 마감은 16일 화요일 오후 1시까지
  해외취업 홍콩취업 투자 금융 블룸버그 KB증권 골드만삭스 경영대학원
 신청하신 학생들에게 당일 오후에 ZOOM 참가 코드가 발송됩니다
신청 후 사정이 생겨서 수강이 어려운 경우 반드시 취소를 해주세요 듣고싶어하는 다른 대기 학생들이 많습니다 반드시 취소해주시기 바랍니다
 문의 02 2173  2146",진로취업프로그램강의형,단과대학 ,전체,전체,0,50,0,0,0,50,"이해한다, 선배의, 통해, 동문, 이야기를, 해외취업을","영미문화전공, 서은진동문의, 홍콩경영대학원, 영문이력서, 신청하신, 학생들의, 굴지의, 전수해주실, 홍콩편, 학생들에게"
공기업 NCS 직업기초능력평가 특강,학부KFL학부,2022년도 공기업 공채 대비,"한국외국어대학교 NCS 입문 특강
1 특강 일정 및 신청 기간신청바로하기
    2 특강 신청 방법
 ① jobhufschampstudycom 접속 후 회원가입
  회원가입 시 아이디는 반드시 학번으로만드시고 교재 배송을 위한 주소 입력 필수 
 ② 상단의 교육과정  취업교육 클릭 후 특강신청  19000원
  별도의 추가신청은 받지 않습니다 반드시 사이트를 통해 신청 부탁드립니다
  특강 신청 회원가입 시 아이디는 반드시 학번으로 만드시고 특강 관련 안내사항 전달을 위해
반드시 연락 가능한 핸드폰 번호를 기재해주세요 
   교재 배송을 위해 교재 받으실 주소지 정확하게 입력해주세요 11월 17일 일괄 배송 시작
 ④ 최종 특강 신청인원 개별 안내 11월 12일
 3특강 일정
 1차 온라인 모의고사  11월 15일  11월 22일 NCS온라인 모의고사
날짜
11월 23일화
11월 24일수
11월 25일목
11월 26일 금
내용
자료해석 영역
수리 영역
의사소통 영역
자원관리 영역
선생님
복지훈 선생님
김소원 선생님
윤종혁 선생님
김동민 선생님
 2차 온라인 모의고사  11월 26일  12월 04일 NCS 온라인 모의고사
 특강 진행 플랫폼  Zoom
 4학습우수자 이벤트
  우수 교육 참여자 학생에게 스타벅스 아메리카노 기프티콘을 제공합니다 차상위 10명
  선정 기준 교육 참여율80  모의고사 응시여부각 10 2회
 5문의사항
 서울캠퍼스 진로취업지원센터 0221732235 또는 해커스jobhufschampstudycom고객센터 11 문의 게시판을 이용해주세요
 ",진로취업프로그램강의형,단과대학 ,전체,전체,0,50,50,0,0,0,"2022년도, 공기업, 공채, 대비","특강신청, 이용해주세요, 윤종혁, 입력해주세요, 의사소통, 추가신청은, 정확하게, 영역, 교육과정, 신청바로하기"
내일은 나도 개발자 특강 코딩교육 왜 필요한가 비전공자도 개발자가 될 수 있나요,학부KFL학부,"코딩 교육, 왜 필요한가? 비전공자도 개발자가 될수 있나요?","코딩교육이 왜 필요한지
인문계 학생들도 개발자가 될 수 있는지
궁금한 학생들은 많은 신청 바랍니다
  ",진로취업프로그램강의형,단과대학 ,전체,전체,0,75,0,0,25,0,"비전공자도, 필요한가, 개발자가, 코딩, 교육, 있나요, 될수","코딩교육이, 학생들은, 필요한지, 신청, 학생들도, 개발자가, 궁금한, 바랍니다, 있는지, 인문계"
전지적 선배 시점 Ep04 현대자동차해외영업직편,학부KFL학부,다양한 산업계에 재직 중인 2030 선배의 강연을 통해 해당 산업과 관련 진로를 탐색한다.,"당신의 진로에 참견해드립니다
전지적 선배 시점 Ep04 현대자동차해외영업직편
 안녕하세요 진로취업지원센터입니다
많은 외대인들의 로망이라고 할 수 있죠 해외영업직무
이번 4회차는 설명이 필요없는 현 대 자 동 차 글로벌사업관리본부구 해외영업본부에 계신 동문님을 강연자로 모셔서 해영직에 대해 자세히 알아보고자합니다
해당 산업군과 직무에 관심 있는 학생분들의 많은 참여 바랍니다
 강연 일정 2021년 11월 17일 수요일 오후 3시  5시
신청 마감 2021년 11월 16일 화요일 밤 23시 59분까지
              사전 질문 마감은 15일 월요일 오후 1시까지
신청 정원 98명  대기 9명 신청 합격 상태의 학생이 취소를 하게 되면 신청 대기 상태의 학생이 신청 순서대로 합격 상태로 전환됩니다
 신청하신 학생들에게 당일 오후에 ZOOM 참가 코드가 발송됩니다
신청 후 사정이 생겨서 수강이 어려운 경우 반드시 취소를 해주세요 듣고싶어하는 다른 대기 학생들이 많습니다 반드시 취소해주시기 바랍니다
 문의 02 2173  2146",진로취업프로그램강의형,단과대학 ,전체,전체,0,50,0,0,50,0,"2030, 강연을, 선배의, 산업과, 통해, 관련, 중인, 진로를, 탐색한다, 재직","학생분들의, 산업군과, 당신의, 현대자동차, 알아보고자합니다, 상태의, 신청하신, 수강이, 신청, 동문님을"
20211122 면접이 불안한 외대인에게면접 불안 대처 프로그램,학부KFL학부,면접 불안 대처 프로그램," 1 면접 불안에 대한 이해 
2 면접 불안을 조절하는데에 도움이 되는 지식 전달 및 실습 
 동일한 프로그램을
20211122월 13301500 
20211124수 13301500     진행합니다 
신청 일자 확인하여 신청 부탁드립니다 
 문의  진로취업지원센터백년관 학생상담실 0313304958 counselkarmaejhufsackr 
   ",진로취업프로그램상담컨설팅형,단과대학 ,전체,전체,0,50,50,0,0,0,"면접, 프로그램, 대처, 불안","진행합니다, 학생상담실, 백년관, 신청, 동일한, 면접, 확인하여, 조절하는데에, 이해, 부탁드립니다"
20211124 면접이 불안한 외대인에게면접 불안 대처 프로그램,학부KFL학부,면접 불안 대처 프로그램," 1 면접 불안에 대한 이해 
2 면접 불안을 조절하는데에 도움이 되는 지식 전달 및 실습 
 동일한 프로그램을
20211122월 13301500 
20211124수 13301500   진행합니다 
신청 일자 확인하여 신청 부탁드립니다 
 문의  진로취업지원센터백년관 학생상담실 0313304958 counselkarmaejhufsackr 
   ",진로취업프로그램상담컨설팅형,단과대학 ,전체,전체,0,50,50,0,0,0,"면접, 프로그램, 대처, 불안","진행합니다, 학생상담실, 백년관, 신청, 동일한, 면접, 조절하는데에, 확인하여, 부탁드립니다, 이해"
해외재직동문특강멕시코멕시코시티 한국계 가전제품 중견기업 현지법인 PM 정세영동문 6회차,학부KFL학부,동문 선배의 이야기를 통해 해외취업을 이해한다.,"진로취업지원센터 2021 해외재직동문특강 6회차 멕시코편
이번 6회차는 현재 멕시코시티에 계신 스페인어과 15학번 정세영동문의 강연으로 진행됩니다  hola 
 강연 일정 2021년 11월 15일 월요일 오후 3시  5시
신청 마감 2021년 11월 14일 일요일 밤 23시 59분까지
                 사전 질문 마감은 12일 금요일 오후 1시까지
 해당 산업과 직무 국가 취업에 관심있는 학생들의 많은 참여 바랍니다
 해외취업 멕시코취업 중남미취업 스페인어취업 전자제품 PM 
 신청하신 학생들에게 당일 오후에 ZOOM 참가 코드가 발송됩니다
신청 후 사정이 생겨서 수강이 어려운 경우 반드시 취소를 해주세요 듣고싶어하는 다른 대기 학생들이 많습니다 반드시 취소해주시기 바랍니다
 문의 02 2173  2146",진로취업프로그램강의형,단과대학 ,전체,전체,0,25,0,0,25,50,"이해한다, 선배의, 통해, 동문, 이야기를, 해외취업을","정세영동문의, 스페인어과, 학생들의, 신청하신, 신청, 산업과, 생겨서, 사정이, 15학번, 학생들에게"
동문선배특강 이랜드그룹 인사총괄실무자가 알려주는 인사직무 교육직무의 모든 것1124,학부KFL학부,"동문 재직자 선배가 후배들께 알려주시는 채용정보, 회사, 직무 정보 공유, 동문선배 멘토링","이랜드그룹 인사총괄 인재개발실장님사학과 2011 졸업께서 알려주시는 인사직무의 모든 것
내 성향에 맞는 진로 직무 찾기 일잘하는 법 면접관이 알려주는 함께 일하고 싶은 직원
관심있는 학생들은 신청하셔요
특강일  211124수 저녁 7시입니다      특강 참가 링크    httpsurlkruejkpz
특강 전 사전설문조사 바로가기  211122월까지 궁금한 점에 대해 질문 남겨 주셔요 
httpsformsgleibRtCgNQjk76sPRB6
    ",진로취업프로그램강의형,전체,전체,전체,0,25,25,0,25,25,"채용정보, 동문선배, 멘토링, 정보, 공유, 재직자, 알려주시는, 동문, 선배가, 직무","인사직무의, 면접관이, 인사총괄, 사전설문조사, 인재개발실장님, 신청하셔요, 학생들은, 7시입니다, 알려주시는, 일잘하는"
동문선배특강 에쓰푸드주 B2B마케팅 제품기획 온라인쇼핑 광고 직무1123,학부KFL학부,"동문 취업선배의 취업과 회사, 직무 정보 공유, 취업선배 멘토링","특강 전 사전 질문 남겨주셔요 답변해 드립니다  211119까지
httpsurlkr5yp4aw
 동문선배특강 온라인 참여 링크 안내  
httpsurlkr58gy9e
회의 ID 834 3788 4016
암호 941707
    ",진로취업프로그램강의형,전체,전체,전체,0,25,25,0,25,25,"멘토링, 공유, 정보, 동문, 직무, 회사, 취업선배의, 취업선배, 취업과","드립니다, 남겨주셔요, 온라인, 참여, 안내, 답변해, 동문선배특강, 특강, 사전, 암호"
동문선배특강 SK하이닉스 해외영업직무1122,학부KFL학부,"동문 취업선배의 취업과 회사, 직무 정보 공유, 취업선배 멘토링","특강 전 선배님께 사전 질문 바로가기  httpsurlkr8u4any       211119금까지 
 특강 참여 링크
시간 2021년 11월 22일  0800 오후 서울
Zoom 회의 참가
httpsus06webzoomusj85057069816pwdRzUrL294OXJ5ZkJWL1ZkdnpjL3BpQT09
회의 ID 850 5706 9816
암호 042941
  ",진로취업프로그램강의형,전체,전체,전체,0,25,25,0,25,25,"멘토링, 공유, 정보, 동문, 직무, 회사, 취업선배의, 취업선배, 취업과","바로가기, 오후, 사전, 시간, 서울, 암호, 링크, 특강, 질문, 22일"
동문선배특강 한국모금가협회 국내 최초 펀드레이저 Legacy Designer 작가 직무 1116,학부KFL학부,"졸업 후 다양한 직종, 분야에서 활발하게 전문가로 활동하는 동문선배로 부터 듣는 진로 취업 멘토링","해당 분야  전문가로 활발하게 활동하는 국내 최초 펀드레이저 선배님을 만날 수 있는 기회
졸업 후 다양한 분야 활동교직원 월드비전 한국모금가협회 작가을 통해 성장하고 발전한 동문 선배로 부터 듣는 해당 직무 이야기
 20211116화 700  830
온라인 줌Zoom  신청자에 한하여 당일 링크 문자 발송
강사    한국모금가협회 상임이사
별칭 세상에 선한 영향력을 미치는 기부자의 파트너 국내 제1호 고액모금 전문가 레거시 디자이너Legacy Designer
선배님께 궁굼한 점 사전 질문 작성하기 211115까지     httpsurlkr5yp4aw
 한국외대의 입사 후 11년간의 교직원 생활을 끝내고 서울대학교 건국대학교 월드비전을 거치면서 고액모금과 캐피탈 캠페인기금모금 캠페인 등을 통해 약 5천억 원을 모금하는 등 전문 모금가로 수많은 자산가들과 뜻있는 사람들의 유산상속과 기부를 컨설팅했다 건강한 기부문화의 토대를 마련하고 정착하기 위해 한국모금가협회KAFP를 설립해 운영하면서 윤리적이고 전문적인 모금가를 양성하고 있고 대학 병원 국제개발 및 사회복지 시민사회 NGO 문화예술 분야 기관에 모금과 관련한 강연과 연구 컨설팅을 주로 하고 그 밖에도 상속과 기부 죽음과 종활終活 인생의 마지막을 위한 활동과 관련한 강연과 연구 컨설팅 등을 활발하게 진행하고 있다 최근 EBS 클래스강연 상속의시대는 커다란 반향을 일으키며 많은시청자들의 이목을 집중시켰다 건국대학교 부동산대학원에서 부동산 기부를 주제로 논문을 쓰면서 자산관리와 처분 및 법률 분야를 연구했다 행정안전부 기부심사위원 사회연대은행 이사 대한적십자사회장 특별보좌 서울시 민주주의위원회 및 민간 자문위원 사회복지공동모금회 나눔문화연구소 운영위원 등을 역임했다
  최근작 나는 새해가 되면 유서를 쓴다
   ",진로취업프로그램강의형,전체,전체,전체,0,25,25,0,25,25,"동문선배로, 멘토링, 직종, 졸업, 전문가로, 활동하는, 활발하게, 진로, 부터, 취업","유산상속과, 인생의, 운영하면서, 자산관리와, 종활, 강연과, 상속과, 활동하는, 활동, 진행하고"
공기업 NCS 직업기초능력평가 특강,학부학부,2022년도 공기업 공채 대비,"한국외국어대학교 NCS 입문 특강
1 특강 일정 및 신청 기간신청바로하기
위 링크 내 사이트를 통해서만 신청이 가능합니다
HUFSAbility 내 현재 게시글에서 신청하는 건은 인정되지 않습니다
   신청기간
특강 장소
선착순 신청 인원
1108월  1111목
온라인 스트리밍
100명
  2 특강 신청 방법
 ① jobhufschampstudycom 접속 후 회원가입
  회원가입 시 아이디는 반드시 학번으로만드시고 교재 배송을 위한 주소 입력 필수 
 ② 상단의 교육과정  취업교육 클릭 후 특강신청  19000원
  별도의 추가신청은 받지 않습니다 반드시 사이트를 통해 신청 부탁드립니다
  특강 신청 회원가입 시 아이디는 반드시 학번으로 만드시고 특강 관련 안내사항 전달을 위해
반드시 연락 가능한 핸드폰 번호를 기재해주세요 
   교재 배송을 위해 교재 받으실 주소지 정확하게 입력해주세요 11월 17일 일괄 배송 시작
 ④ 최종 특강 신청인원 개별 안내 11월 12일
 3특강 일정
 1차 온라인 모의고사  11월 15일  11월 22일 NCS온라인 모의고사
날짜
11월 23일화
11월 24일수
11월 25일목
11월 26일 금
내용
자료해석 영역
수리 영역
의사소통 영역
자원관리 영역
선생님
복지훈 선생님
김소원 선생님
윤종혁 선생님
김동민 선생님
 2차 온라인 모의고사  11월 26일  12월 04일 NCS 온라인 모의고사
 특강 진행 플랫폼  Zoom
 4학습우수자 이벤트
  우수 교육 참여자 학생에게 스타벅스 아메리카노 기프티콘을 제공합니다 차상위 10명
  선정 기준 교육 참여율80  모의고사 응시여부각 10 2회
 5문의사항
  해커스jobhufschampstudycom고객센터 11 문의 게시판을 이용해주세요
 ",진로취업프로그램강의형,단과대학 ,전체,전체,0,50,50,0,0,0,"2022년도, 공기업, 공채, 대비","특강신청, 윤종혁, 신청바로하기, 입력해주세요, 신청기간, 신청이, 이용해주세요, 의사소통, 정확하게, 영역"
1116 글로벌제약기업 한국유나이티드제약 채용설명회,학부KFL학부,"기업 인사담당자 인터뷰를 통해 구체적 취업 정보를 제공, 학생의 취업 역량을 강화하고 실질적인 취업 준비 과정을 지원함"," 회사 홈페이지  httpswwwkupcokr
 한국유나이티드제약 회사 소개  httpsyoutube_XV6ojuyrA
KBS 기술강국 프로젝트  중견만리3 개량 신약 개발의 선두주자 한국유나이티드제약  httpsyoutubejMhNARHj1hQ
      한국유나이티드제약주에서 추천채용과 채용설명회를 함께 진행 중에 있습니다 
 관련 문의  진로취업지원센터0221732499
   ",진로취업프로그램강의형,단과대학 ,전체,전체,0,50,50,0,0,0,"실질적인, 과정을, 인터뷰를, 강화하고, 구체적, 정보를, 인사담당자, 학생의, 통해, 제공","추천채용과, 중견만리3, 진행, 중에, 선두주자, 홈페이지, 기술강국, 개발의, 소개, 문의"
대웅제약  인사팀 1125 온라인 현직자 직무 클래스,학부KFL학부,다양한 분야의 현직자와 함께 기업 및 직무에 대한 이해 키우기," 사전질문 제출 httpsurlkry1fx5t
              ",진로취업프로그램강의형,단과대학 ,전체,전체,0,50,50,0,0,0,"현직자와, 기업, 키우기, 이해, 직무에, 대한, 함께, 분야의, 다양한","사전질문, 제출, y1fx5t, kr, url, https"
DHL  세일즈마케팅팀 1123 온라인 현직자 직무 클래스,학부KFL학부,다양한 분야의 현직자와 함께 기업 및 직무에 대한 이해 키우기," 사전질문 제출  httpsurlkrw29ea3
              ",진로취업프로그램강의형,단과대학 ,전체,전체,0,50,50,0,0,0,"현직자와, 기업, 키우기, 이해, 직무에, 대한, 함께, 분야의, 다양한","사전질문, 제출, w29ea3, url, kr, https"
현대자동차  브랜드프로모션팀 1130 온라인 현직자 직무 클래스,-,다양한 분야의 현직자와 함께 기업 및 직무에 대한 이해 키우기," 사전질문 제출 httpsurlkrf47lpg
              ",-,단과대학 ,전체,전체,0,50,50,0,0,0,"현직자와, 기업, 키우기, 이해, 직무에, 대한, 함께, 분야의, 다양한","사전질문, 제출, kr, url, f47lpg, https"
SSGCOM  서비스기획 122 온라인 현직자 직무 클래스,-,다양한 분야의 현직자와 함께 기업 및 직무에 대한 이해 키우기," 사전질문 제출 httpsurlkr9lifco
              ",-,-,-,-,0,50,50,0,0,0,"현직자와, 기업, 키우기, 이해, 직무에, 대한, 함께, 분야의, 다양한","사전질문, 제출, 9lifco, kr, url, https"
졸업생을 위한 공기업 자기소개서 작성법,학부KFL학부,공기업 자기소개서 작성,"  공기업 자기소개서 작성 노하우 
  ",진로취업프로그램상담컨설팅형,전체,졸업 ,전체,0,50,50,0,0,0,"공기업, 자기소개서, 작성","공기업, 자기소개서, 작성, 노하우"
심화반Git으로 배우는 버전관리  유닉스 커맨드 라인 외,학부KFL학부,프로그래밍 데이터 분석 기본까지 다양한 실습을 통한 프로그래밍 언어 기초 습득을 목표로 함," 서울캠퍼스 진로취업지원센터에서 모집한  4차산업혁명_역량강화교육과정 파이썬Python 데이터 분석 기초에 선발된
   학생은 다른 학생들에게 기회를 주기 위해 모집에서 제외 됨을 양해 바랍니다
  본 과정의 수료조건은 진도율 70 이상 기말 평가 60점 이상입니다
 성실하게 수강 할 학생만 지원 가능하며 기간내에 수료조건이 안될 경우 다른 프로그램 신청시 제한 될 수 있습니다
  선발 된 학생에게는 구글 서베이 공유 예정  7개 과정 중 1개 선택  기초반  심화반 중 1개만 신청할 수 있음
  심화과정 추천 과목 상세pdf
  ",진로취업프로그램강의형,단과대학 ,전체,전체,0,25,50,0,25,0,"프로그래밍, 실습을, 목표로, 습득을, 통한, 데이터, 기초, 언어, 분석, 다양한","심화과정, 4차산업혁명_역량강화교육과정, 신청시, 과정의, 신청할, 수료조건이, 수료조건은, 학생들에게, 성실하게, 학생에게는"
기초반프로그램밍 기초 in Python  비개발자를 위한 SQL데이터베이스  웹 퍼블리싱,학부KFL학부,프로그래밍 기초 문법부터 데이터 분석 기본까지 다양한 실습을 통한 프로그래밍 언어 기초 습득을 목표로 함," 서울캠퍼스 진로취업지원센터에서 모집한  4차산업혁명_역량강화교육과정 파이썬Python 데이터 분석 기초에 선발된
   학생은 다른 학생들에게 기회를 주기 위해 모집에서 제외 됨을 양해 바랍니다
  본 과정의 수료조건은 진도율 70 이상 기말 평가 60점 이상입니다
 성실하게 수강 할 학생만 지원 가능하며 기간내에 수료조건이 안될 경우 다른 프로그램 신청시 제한 될 수 있습니다
 선발 된 학생에게는 구글 서베이 공유 예정   3개 과정 중 1개 선택  기초반  심화반 중 1개만 신청할 수 있음
 기초과정 추천 과목 상세pdf
  ",진로취업프로그램강의형,단과대학 ,전체,전체,0,75,25,0,0,0,"문법부터, 프로그래밍, 실습을, 목표로, 습득을, 데이터, 통한, 기초, 언어, 분석","기초과정, 4차산업혁명_역량강화교육과정, 신청시, 과정의, 신청할, 수료조건이, 수료조건은, 학생들에게, 성실하게, 학생에게는"
컨설팅바이오 11 진로 및 취업 컨설팅,-,진로와 취업관련 현실적인 고민에 대한 전문가 컨설팅을 통해 진로 및 취업 방향성을 잡아준다, ,-,단과대학 ,전체,3학년 4학년 5학년 6학년 ,0,50,50,0,0,0,"현실적인, 컨설팅을, 진로와, 전문가, 잡아준다, 통해, 고민에, 대한, 진로, 취업관련",
오쌤의 공기놀이공기업 준비의 기준이 되는 놀라운 이야기,-,공기업 취업 준비생들의 취업역량 강화, ,-,단과대학 ,전체,전체,0,75,0,25,0,0,"준비생들의, 공기업, 강화, 취업, 취업역량",
Level UP 면접특강_Lv2 실전 면접 전략,학부KFL학부,"면접대비 기초, 실전 전략 수립", ,진로취업프로그램강의형,단과대학 ,전체,전체,0,50,25,25,0,0,"면접대비, 실전, 수립, 기초, 전략",
Level UP 면접특강_Lv1 면접 준비의 기초,학부KFL학부,"면접대비 기초, 실전 전략 수립", ,진로취업프로그램강의형,단과대학 ,전체,전체,0,50,25,25,0,0,"면접대비, 실전, 수립, 기초, 전략",
인턴 지원을 위한 자기소개서 작성법,학부KFL학부,인턴 지원을 위한 자기소개서 작성 기초의 이해, ,진로취업프로그램강의형,단과대학 ,전체,전체,0,50,25,25,0,0,"자기소개서, 기초의, 인턴, 작성, 지원을, 이해, 위한",
실전 면접3 31 그룹 모의 면접해외영업 영업 마케팅 이공계 삼성,학부KFL학부,성공취업을 위한 면접 실전 역량 높이기, ,진로취업프로그램강의형,단과대학 ,전체,전체,0,50,25,25,0,0,"면접, 실전, 위한, 역량, 성공취업을, 높이기",
실전 면접2보이스트레이닝1분 자기소개 스크립터 작성법,-,성공취업을 위한 면접 실전 역량 높이기, ,-,단과대학 대학원 ,전체,전체,0,50,25,25,0,0,"면접, 실전, 위한, 역량, 성공취업을, 높이기",
실전 면접1성공하는 면접 전략 특강기업별 단계별 유형별,학부KFL학부,성공취업을 위한 면접 실전 역량 높이기, ,진로취업프로그램강의형,단과대학 ,전체,전체,0,50,25,25,0,0,"면접, 실전, 위한, 역량, 성공취업을, 높이기",
실전 면접4 인사담당자와 함께하는 면접 QA,-,성공취업을 위한 면접 실전 역량 높이기, ,-,단과대학 대학원 ,전체,전체,0,50,25,25,0,0,"면접, 실전, 위한, 역량, 성공취업을, 높이기",
20212 현직선배와 함께하는 JOB 콘서트1112 이스포츠 리그LCK 비즈니스 전략 라이엇 게임즈,학부KFL학부,현직 동문선배의 생생한 직무 소개를 통해 올바른 직무 이해 및 필요역량을 파악한다,"  이스포츠 리스LCK 비즈니스 전략 라이엇 게임즈 특강에 대한 사전 신청 입니다
특강 동문께서는 기아자동차에서 마케팅 업무브랜드 전략 스포츠 마케팅 경험  MBA 석사 수료 해외 스타트업 근무경험 LG그룹 근무경험 등을 거쳐 현재 LOLLeague of legend 전략기획팀 팀장으로 재직중에 계십니다
게임산업에 관심있는 학생들의 많은 참여 바랍니다
 회차별 최대 100명까지 선착순 마감이므로 해당 특강 일자 및 일시에 참여가 어려운 학생들은 가급적 신청하지 말아주시고 꼭 참석이 가능한 학생들만 참여 신청 바랍니다
또한 참여신청을 한 학생께서는 꼭 본 특강에 참석 부탁드립니다
 참석이 어려운 경우  다른 학생들에게 피해가 가지 않도록 신청자에게 진행업체인 잇다Itdaa에서 전달하는 카카오톡을 통해 수강취소를 진행하시거나
진로취업지원센터0221732144로 연락하여 취소하시기 바랍니다
참석신청이 확정된 학생들에게는 사전 안내 문자와 사전 질문을 남길 수 있는 방법을 문자 안내할 예정입니다 많은 질의 바랍니다
감사합니다
 상기일정은 상황에 따라 변경 혹은 취소될 수 있습니다
 정말 해당 차수 특강을 꼭 참여할 학생들이 신청하시기 바랍니다
 ",진로취업프로그램강의형,단과대학 ,전체,전체,0,50,50,0,0,0,"동문선배의, 생생한, 통해, 현직, 이해, 파악한다, 올바른, 소개를, 직무, 필요역량을","진행업체인, 상기일정은, 기아자동차에서, 신청하시기, 참석신청이, 신청자에게, 신청하지, 학생들의, 참여신청을, 학생들에게"
오쌤과 합격으로가는 입사지원서 작성법  기초반,-,입사지원서 작성법 및 항목별 작성법 지도, ,-,단과대학 ,전체,전체,0,75,25,0,0,0,"작성법, 입사지원서, 항목별, 지도",
오쌤과 합격으로가는 입사지원서 작성법  응용반,학부KFL학부,입사지원서 작성법 및 항목별 작성법 지도, ,-,단과대학 ,전체,전체,0,50,25,25,0,0,"작성법, 입사지원서, 항목별, 지도",
동문선배 창업 특강 인문계 전공자와 스타트업,-,"동문 선배의 창업 특강을 통해 창업가 정신 함양, 인문계 전공자의 창업 노하우, 플랫폼 창업, 졸업 후 진로, 커리어 관리"," 동문 선배 창업 특강 
주제  인문계 전공자와 스타트업
강사  김규영 엠지플레밍 대표이사 중국어과 90학번 94년 졸업
일시  20211103수 15시
장소  서울캠퍼스 이문107 
본 특강은 이문107에서 오프행사로 진행합니다 
온라인 웹엑스 실시간 병행 HUFSAbility 신청자에게 참가 문자 송부 예정줌에서 웹엑스로 변경되었습니다 
문자를 받지 못한 신청자께서는 아래 웹엑스 미팅룸 참조하여 접속하여 주시기 바랍니다  
웹엑스 미팅룸  httpshufswebexcommeetstarter
 ",-,전체,전체,전체,0,50,50,0,0,0,"전공자의, 창업, 졸업, 창업가, 정신, 통해, 특강을, 선배의, 동문, 커리어","오프행사로, 신청자에게, 접속하여, 전공자와, 엠지플레밍, 병행, 김규영, 중국어과, 90학번, 서울캠퍼스"
111 오프더레코드_인담자 라이브 채용설명회,학부KFL학부,"세계시장에 영향을 끼치는 우량 중견, 강소기업 인사담당자와 함께하는 채용설명회","   참고 회사PR자료_프로그램 전 미리 보고 오세요 

 슈피겐코리아
회사 홈페이지  httpwwwspigenkoreacokr
대표이사 인터뷰 httpsyoutubeMcMpXYZhZt4 
 아마존으로 2600억 매출 회사가 되기까지 비즈니스와 사업 방향성에 대한 소개
한국외대 인턴의 하루  httpsyoutubegSHq_6Gj4aY
 슈피겐코리아 근무환경 및 해외영업 업무에 대한 브이로그
  코스메카코리아
회사 홈페이지  httpwwwcosmeccacomkohome
회사소개  httpsyoutubezcwaqzJciU 
메이크업인로스앤젤레스2020 현장스케치잉글우드랩  httpsyoutubeDXbxq8P3Bao 
IR자료기업성과발표  httpsyoutubeUhbPH43DA9Y
  하이메디
회사 홈페이지  httpshimedikr
경영진 대담회사 정체성 비전  httpsyoutubeTmLM4qT8oqs
하이쿠리아랍지역을 타겟으로한 하이메디 브랜드 홍보채널  httpswwwyoutubecomchannelUCgxec7inU4DbrUFa8uJEYJQ
  ",진로취업프로그램강의형,단과대학 ,전체,전체,0,50,50,0,0,0,"인사담당자와, 중견, 강소기업, 함께하는, 채용설명회, 우량, 영향을, 세계시장에, 끼치는","인턴의, 현장스케치, 슈피겐코리아, 정체성, 근무환경, 아마존으로, 잉글우드랩, 기업성과발표, 메이크업인로스앤젤레스2020, 코스메카코리아"
