프로그램명,프로그램 분류,신청대상,프로그램 목표,프로그램 주요내용,학부,학적,학년,지식·정보·기술 활용역량,자기주도적 학습역량,창의·혁신역량,의사소통 역량,대인관계역량,세계시민역량,프로그램 목표_키워드,프로그램 주요내용_키워드
1019 나만의 습관레시피 만들기온라인야간긍정습관 설계 프로그램,워크숍,학부KFL학부,나만의 좋은 습관과 데일리 루틴을 만들고 실천하면서 걸림돌을 점검하고 서로 함께 응원하는 과정을 통해 슬기로운 2학기를 보낼 수 있다., ,단과대학 ,재학 휴학 수료 ,전체,25,75,0,0,0,0,"실천하면서, 응원하는, 과정을, 나만의, 습관과, 슬기로운, 2학기를, 점검하고, 만들고, 루틴을",
2021 인도 해외취업 설명회,-,학부KFL학부,2021 인도 해외취업 설명회,"2021 인도 해외취업 설명회
 KOTRA 뉴델리 KMOVE 거점에서는 인도 취업에 관심이 있는 학생들에게 인도 취업 및 실생활 정보를 제공코자 10월 14일목 2021 인도 취업설명회 및 멘토링 행사를 
 아래와 같이 개최할 예정입니다
 본 설명회는 학생들의 취업 및 진로에 도움이 되고자 개최되며 많이 바쁘시겠지만 학생들의 많은 참여 바랍니다
 본 행사는 참가 신청서를 기반으로 신청하실 수 있습니다
  아   래 
 1013수 정오 12시까지 참가자 신청서 작성 필수 작성자에 한해 ZOOM LINK 공유
 ㅇ 행사명 2021 인도 취업설명회 및 멘토링 행사
ㅇ 일정 10월 14일 목요일
ㅇ 시간 인도 오후 15001615 한국 18301945
ㅇ 장소 Zoom 활용
ㅇ 강연자 인도 진출 기업 담당자이랜텍_주재원 채용 삼성디스플레이_현지 채용 멘토삼성SDS
ㅇ 참가 신청서 httpsdocsgooglecomformsde1FAIpQLSerhZXXsrzJ3bVwc5Bx6UO8TErMRCsHMnj_3TsuhNbEMRTeAviewform
 프로그램 순서
일정
프로그램
비고
IST1500  1510
KST1830  1840
①인사말
② KMOVE 사업 해외취업정착지원금 절차 안내
뉴델리무역관
IST1510  1550
KST1840  1920
  ①인사 담당자의 기업이 원하는 인재상 안내15분
②질의응답5분
기업 담당자①②
IST1550 1610
KST1920  1940
①멘토의 인도 취업 경험담 및 생활정보 공유15분
②질의응답5분
KMOVE 멘토
IST1610 1615
KST1940  1945
맺음말
뉴델리무역관
  ",단과대학 ,전체,전체,50,0,0,50,0,0,"인도, 2021, 해외취업, 설명회","뉴델리무역관, 학생들의, 삼성디스플레이_현지, 생활정보, 신청서, 신청하실, 목요일, 학생들에게, 신청서를, 인재상"
1012 나만의 습관레시피 만들기온라인야간긍정습관 설계 프로그램,워크숍,학부KFL학부,나만의 좋은 습관과 데일리 루틴을 만들고 실천하면서 걸림돌을 점검하고 서로 함께 응원하는 과정을 통해 슬기로운 2학기를 보낼 수 있다., ,단과대학 ,재학 휴학 수료 ,전체,25,75,0,0,0,0,"실천하면서, 응원하는, 과정을, 나만의, 습관과, 슬기로운, 2학기를, 점검하고, 만들고, 루틴을",
2021생명존중캠페인 ⑥ 걸어서 힐링 속으로,워크숍,학부KFL학부,코로나 시국이 계속되는 가운데 재학생의 심리적 적응을 돕고 정신건강을 증진시키기 위하여 생명사랑을 주제로 한 참여형 캠페인을 시행하고자 함,  총 6개 소프로그램 중에서 5개 이상 참여하시면 특별선물의 주인공이 될 확률이 올라갑니다 ,단과대학 ,재학 휴학 수료 비재학 ,전체,0,25,25,0,25,25,"정신건강을, 생명사랑을, 재학생의, 시행하고자, 증진시키기, 참여형, 캠페인을, 적응을, 심리적, 시국이","특별선물의, 주인공이, 중에서, 참여하시면, 이상, 올라갑니다, 5개, 소프로그램, 6개, 확률이"
2021생명존중캠페인 ④ 생명지킴클래스온라인,교육특강,학부KFL학부,코로나 시국이 계속되는 가운데 재학생의 심리적 적응을 돕고 정신건강을 증진시키기 위하여 생명사랑을 주제로 한 참여형 캠페인을 시행하고자 함,  총 6개 소프로그램 중에서 5개 이상 참여하시면 특별선물의 주인공이 될 확률이 올라갑니다 ,단과대학 ,재학 휴학 수료 비재학 ,전체,0,25,25,0,25,25,"정신건강을, 생명사랑을, 재학생의, 시행하고자, 증진시키기, 참여형, 캠페인을, 적응을, 심리적, 시국이","특별선물의, 주인공이, 중에서, 참여하시면, 이상, 올라갑니다, 5개, 소프로그램, 6개, 확률이"
2021생명존중캠페인 ② 마음날씨체크스트레스 자가진단검사,워크숍,학부KFL학부,코로나 시국이 계속되는 가운데 재학생의 심리적 적응을 돕고 정신건강을 증진시키기 위하여 생명사랑을 주제로 한 참여형 캠페인을 시행하고자 함, 총 6개 소프로그램 중에서 5개 이상 참여하시면 특별선물의 주인공이 될 확률이 올라갑니다 ,단과대학 ,재학 휴학 수료 비재학 ,전체,0,50,25,0,25,0,"정신건강을, 생명사랑을, 재학생의, 시행하고자, 증진시키기, 참여형, 캠페인을, 적응을, 심리적, 시국이","특별선물의, 주인공이, 중에서, 참여하시면, 이상, 올라갑니다, 5개, 소프로그램, 6개, 확률이"
도서관 이용자교육_레포트 작성법 10월,-,학부,과제수행시 계획수립에서 마무리까지의 과정에서 고려해야 할 내용을 살펴보고 A+레포트작성에 기여하고자 함.,"도서관 홈페이지를 통해 별도 신청하지 않아도 신청가능하며
교육당일 오전에 이메일과 문자로 Webex 참여URL을 발송해 드립니다
많은 신청 바랍니다
 ",단과대학 ,재학 휴학 수료 비재학 ,1학년 2학년 3학년 4학년 ,50,25,0,25,0,0,"레포트작성에, 과제수행시, 과정에서, 기여하고자, 살펴보고, 내용을, 마무리까지의, 고려해야, 계획수립에서","webex, 신청가능하며, 바랍니다, 드립니다, 이메일과, 신청하지, 교육당일, 발송해, 오전에, 참여url을"
2021생명존중캠페인 ⑤ 바질러챌린지,워크숍,학부KFL학부,코로나 시국이 계속되는 가운데 재학생의 심리적 적응을 돕고 정신건강을 증진시키기 위하여 생명사랑을 주제로 한 참여형 캠페인을 시행하고자 함, 총 6개 소프로그램 중에서 5개 이상 참여하시면 특별선물의 주인공이 될 확률이 올라갑니다 ,단과대학 ,재학 휴학 수료 비재학 ,전체,0,0,25,0,50,25,"정신건강을, 생명사랑을, 재학생의, 시행하고자, 증진시키기, 참여형, 캠페인을, 적응을, 심리적, 시국이","특별선물의, 주인공이, 중에서, 참여하시면, 이상, 올라갑니다, 5개, 소프로그램, 6개, 확률이"
2021생명존중캠페인 ③ 마음날씨체크자존감 자가진단검사,워크숍,학부KFL학부,코로나 시국이 계속되는 가운데 재학생의 심리적 적응을 돕고 정신건강을 증진시키기 위하여 생명사랑을 주제로 한 참여형 캠페인을 시행하고자 함, 총 6개 소프로그램 중에서 5개 이상 참여하시면 특별선물의 주인공이 될 확률이 올라갑니다 ,단과대학 ,재학 휴학 수료 비재학 ,전체,0,50,25,0,25,0,"정신건강을, 생명사랑을, 재학생의, 시행하고자, 증진시키기, 참여형, 캠페인을, 적응을, 심리적, 시국이","특별선물의, 주인공이, 중에서, 참여하시면, 이상, 올라갑니다, 5개, 소프로그램, 6개, 확률이"
2021생명존중캠페인 ① 마음날씨체크우울 자가진단검사,워크숍,학부KFL학부,코로나 시국이 계속되는 가운데 재학생의 심리적 적응을 돕고 정신건강을 증진시키기 위하여 생명사랑을 주제로 한 참여형 캠페인을 시행하고자 함, 총 6개 소프로그램 중에서 5개 이상 참여하시면 특별선물의 주인공이 될 확률이 올라갑니다 ,단과대학 ,재학 휴학 수료 비재학 ,전체,0,50,25,0,25,0,"정신건강을, 생명사랑을, 재학생의, 시행하고자, 증진시키기, 참여형, 캠페인을, 적응을, 심리적, 시국이","특별선물의, 주인공이, 중에서, 참여하시면, 이상, 올라갑니다, 5개, 소프로그램, 6개, 확률이"
105 나만의 습관레시피 만들기온라인야간긍정습관 설계 프로그램,워크숍,학부KFL학부,나만의 좋은 습관과 데일리 루틴을 만들고 실천하면서 걸림돌을 점검하고 서로 함께 응원하는 과정을 통해 슬기로운 2학기를 보낼 수 있다., ,단과대학 ,재학 휴학 수료 ,전체,25,75,0,0,0,0,"실천하면서, 응원하는, 과정을, 나만의, 습관과, 슬기로운, 2학기를, 점검하고, 만들고, 루틴을",
107 심리검사로 이해하는 성격 교실온라인야간자기이해 증진 프로그램,워크숍,학부KFL학부,각자 가지고 태어난 기질과 발달해 온 성격을 이해함으로써 삶의 다양한 질문들을 해소할 수 있다., ,단과대학 ,재학 휴학 수료 ,전체,25,25,0,25,25,0,"이해함으로써, 성격을, 기질과, 질문들을, 해소할, 가지고, 발달해, 태어난, 각자, 있다",
930 나만의 습관레시피 만들기온라인야간긍정습관 설계 프로그램,워크숍,학부KFL학부,나만의 좋은 습관과 데일리 루틴을 만들고 실천하면서 걸림돌을 점검하고 서로 함께 응원하는 과정을 통해 슬기로운 2학기를 보낼 수 있다., ,단과대학 ,재학 휴학 수료 비재학 ,전체,25,50,25,0,0,0,"실천하면서, 응원하는, 과정을, 나만의, 습관과, 슬기로운, 2학기를, 점검하고, 만들고, 루틴을",
928 내 인생룸메가 되어줘 기숙사or자취생 라이프코칭 프로그램,워크숍,학부KFL학부,"룸메이트와 함께 지내면서 말 못할 갈등으로 끙끙 앓지 말고, 서로를 이해하며 유쾌-상쾌-통쾌하게 속시원히 소통하는 방법을 배울 수 있습니다."," 참가자 전원에게 맘스터치 기프티콘을 쏩니다_ 많은 관심과 참여 부탁드려요
 참가자 전원에게 맘스터치 기프티콘을 쏩니다_ 많은 관심과 참여 부탁드려요",단과대학 ,재학 휴학 수료 ,전체,0,25,0,25,25,25,"지내면서, 소통하는, 이해하며, 속시원히, 말고, 갈등으로, 방법을, 룸메이트와, 배울, 서로를","맘스터치, 부탁드려요, 참여, 참가자, 관심과, 쏩니다, 전원에게, 기프티콘을, 많은"
내 안의 진로  1 기질 및 성격 검사 TCI,-,학부,기질과 성격에 대한 종합적인 이해를 바탕으로 자신에게 맞는 진로 찾기,"프로그램명  내 안의 진로  1 기질 및 성격 검사 TCI 
일시  929 수 1730  1930
방식  WEBEX 온라인 화상
검사 종류  기질 및 성격 검사 TCI
내용  기질 및 성격검사 TCI를 통해 기질과 성격에 대한 종합적인 이해를 바탕으로 자신에게 맞는 진로를 찾는데 도움을 받을 수 있습니다
 검사 종류 및 진행 일시를 반드시 확인 후 신청해주시기 바랍니다
  ",단과대학 ,재학 휴학 수료 ,전체,50,50,0,0,0,0,"종합적인, 성격에, 바탕으로, 기질과, 이해를, 자신에게, 진로, 대한, 찾기, 맞는","신청해주시기, 종합적인, webex, 진행, 자신에게, 성격에, 성격검사, 일시, tci, 성격"
내 안의 진로  2 적성탐색검사 Holland,-,-,성격과 흥미 등을 고려하여 자신에게 맞는 직업 유형을 탐색하기,"프로그램명  내 안의 진로  2 적성탐색검사 Holland 
일시  930 목 1730  1930
방식  WEBEX 온라인 화상
검사 종류  적성탐색검사 Holland
내용  적성탐색검사 Holland를 통해 성격과 흥미 등을 고려하여 직업 유형을 탐색하는데 도움을 받을 수 있습니다
 검사 종류 및 진행 일시를 반드시 확인 후 신청해주시기 바랍니다
  ",단과대학 ,재학 휴학 수료 비재학 ,전체,50,50,0,0,0,0,"유형을, 성격과, 고려하여, 직업, 탐색하기, 자신에게, 등을, 흥미, 맞는","적성탐색검사, 성격과, 신청해주시기, 안의, 진행, 직업, webex, 유형을, 고려하여, 내용"
내 안의 진로  3 진로 사고 검사 CTI,워크숍,학부,진로 선택을 방해하는 부정적인 사고를 탐색하고 진로 선택에 필요한 고민을 구체화하기,"프로그램명  내 안의 진로  3 진로사고검사 CTI
일시  105 화 1730  1930
방식  WEBEX 온라인 화상
검사 종류  진로사고검사 CTI
내용  진로사고검사 CTI 를 통해 진로 선택을 방해하는 부정적인 사고를 탐색하고 진로 선택에 필요한 고민을 구체화하는데 도움을 받을 수 있습니다
 검사 종류 및 진행 일시를 반드시 확인 후 신청해주시기 바랍니다
  ",단과대학 ,재학 휴학 수료 비재학 ,전체,50,50,0,0,0,0,"부정적인, 구체화하기, 선택을, 선택에, 필요한, 고민을, 탐색하고, 방해하는, 사고를, 진로","신청해주시기, webex, 구체화하는데, 부정적인, 진행, 진로사고검사, 안의, 선택을, 내용, 필요한"
923 나만의 습관레시피 만들기온라인야간긍정습관 설계 프로그램,워크숍,학부KFL학부,나만의 좋은 습관과 데일리 루틴을 만들고 실천하면서 걸림돌을 점검하고 서로 함께 응원하는 과정을 통해 슬기로운 2학기를 보낼 수 있다., ,단과대학 ,재학 휴학 수료 비재학 ,전체,25,50,25,0,0,0,"실천하면서, 응원하는, 과정을, 나만의, 습관과, 슬기로운, 2학기를, 점검하고, 만들고, 루틴을",
2021 2차 영문 이력서 특강 커버레터 포함,교육특강,학부KFL학부,영문 이력서와 커버레터 작성법에 대한 핵심 작성 방법 이해를 통해 영문 지원서 작성의 완성도와 자신감을 높인다!!,"7월 영문 이력서  커버레터 작성 워크숍을 놓친분들을 위한 1일 완성 특강
 7월 워크숍 만족도 100 추천 100프로그램 
 외국계 기업 지원 1차 서류 합격율을 높이길 원한다면 Must 특강
  ",전체,전체,3학년 4학년 5학년 6학년 ,25,25,0,50,0,0,"작성법에, 완성도와, 이력서와, 작성의, 자신감을, 통해, 영문, 작성, 이해를, 지원서","7월, 합격율을, 워크숍을, 특강, 워크숍, 이력서, 영문, 커버레터, 기업, 작성"
20212 창업 Academy 특강1회차,-,학부KFL학부,"창업에 대한 흥미와 도전정신 고취, 예비창업자 역량 강화 및 기업가정신 발현 유도","Ⅱ
  운영개요
 ㅇ 프로그램명  2021학년도 2학기 창업 Academy 특강
 ㅇ 일　　　정  2021 10 5화  2021 10 6수
 ㅇ 방 법  비대면 온라인 방식Webex 활용
 ㅇ 대 상  한국외국어대학교 재적생
 ㅇ 주관  주최  한국외국어대학교 창업교육센터
 Ⅲ
  프로그램 내용
  특강 일정 및 주제
일자
시간
주제
강연자
2021105
화
15301730
해외 선진 트렌드
디자인 씽킹Design Thinking
이유종
디자인씽킹연구소장
2021106
수
15301730
스타트업
데스밸리Death Valley를
만나는 이유들
우종근
위탐 대표
  ",단과대학 ,전체,전체,50,50,0,0,0,0,"기업가정신, 도전정신, 창업에, 강화, 발현, 흥미와, 대한, 유도, 예비창업자, 역량","운영개요, 창업교육센터, 재적생, 이유종, 활용, 디자인씽킹연구소장, 우종근, 내용, 창업, 강연자"
20212 창업 Academy 특강2회차,-,학부KFL학부,"창업에 대한 흥미와 도전정신 고취, 예비창업자 역량 강화 및 기업가정신 발현 유도","Ⅱ
  운영개요
 ㅇ 프로그램명  2021학년도 2학기 창업 Academy 특강
 ㅇ 일　　　정  2021 10 5화  2021 10 6수
 ㅇ 방 법  비대면 온라인 방식Webex 활용
 ㅇ 대 상  한국외국어대학교 재적생
 ㅇ 주관  주최  한국외국어대학교 창업교육센터
  Ⅲ
  프로그램 내용
  특강 일정 및 주제
일자
시간
주제
강연자
2021105
화
15301730
해외 선진 트렌드
디자인 씽킹Design Thinking
이유종
디자인씽킹연구소장
2021106
수
15301730
스타트업
데스밸리Death Valley를
만나는 이유들
우종근
위탐 대표
  ",단과대학 ,전체,전체,50,50,0,0,0,0,"기업가정신, 도전정신, 창업에, 강화, 발현, 흥미와, 대한, 유도, 예비창업자, 역량","운영개요, 창업교육센터, 재적생, 이유종, 활용, 디자인씽킹연구소장, 우종근, 내용, 창업, 강연자"
916 나만의 습관레시피 만들기온라인야간긍정습관 설계 프로그램,워크숍,학부KFL학부,나만의 좋은 습관과 데일리 루틴을 만들고 실천하면서 걸림돌을 점검하고 서로 함께 응원하는 과정을 통해 슬기로운 2학기를 보낼 수 있다., ,단과대학 ,재학 휴학 수료 비재학 ,전체,25,25,0,0,25,25,"실천하면서, 응원하는, 과정을, 나만의, 습관과, 슬기로운, 2학기를, 점검하고, 만들고, 루틴을",
914 내 인생룸메가 되어줘 기숙사or자취생 라이프코칭 프로그램,-,학부KFL학부,"룸메이트와 함께 지내면서 말 못할 갈등으로 끙끙 앓지 말고, 서로를 이해하며 유쾌-상쾌-통쾌하게 속시원히 소통하는 방법을 배울 수 있습니다.", 참가자 전원에게 맘스터치 기프티콘을 쏩니다_ 많은 관심과 참여 부탁드려요,단과대학 ,재학 휴학 수료 ,전체,0,25,0,25,25,25,"지내면서, 소통하는, 이해하며, 속시원히, 말고, 갈등으로, 방법을, 룸메이트와, 배울, 서로를","맘스터치, 부탁드려요, 관심과, 참가자, 참여, 기프티콘을, 전원에게, 쏩니다, 많은"
2021년 학습자설계융합전공 온라인 설명회,설명회,학부KFL학부,학생 스스로 교과과정을 설계하여 이중전공으로 이수하는 자기주도적 전공 이수 제도 - 학습자설계융합전공 안내,"교육혁신원에서는 학습자가 스스로 교과과정을 설계하여 주도적으로 진로를 개척해 나갈 수 있는 학습자설계융합전공 설명회를 개최하고자 합니다 설명회에서는 학습자설계융합전공에 대한 안내 및 우수 사례를 소개할 예정입니다 관심 있는 학생들의 많은 관심과 참석 바랍니다
  1 설명회명  2021년 학습자설계 융합전공 온라인 설명회
 2 설명회 일정
 1차  2021 9 28화 오전 11시12시
 2차  2021 9 29수 오전 11시12시
 3 참여방법
 본 설명회는 Webex를 통해 비대면으로 진행되며 참여 신청자에게 문자와 이메일을 통해 URL 안내 예정입니다
 설명회 참여 후 비교과프로그램 신청 내역 페이지에서 만족도조사와 과제 제출아이디어 설문조사을 완료하여 주시기 바랍니다 참석인증 스크린샷은 과제 제출란에 함께 첨부하여 주시면 됩니다
   설명회 참여자에게는 치킨 아이스크림 등 소정의 기프티콘이 지급됩니다 만족도 조사 및 아이디어 설문 참여 필수 최대 100명인원 제한
 일반문의 학사종합지원센터 서울 0221732107 글로벌 0313304027
설명회 문의 교육과정혁신팀 0221732983",단과대학 ,재학 ,전체,25,50,25,0,0,0,"교과과정을, 이수하는, 자기주도적, 이중전공으로, 안내, 전공, 이수, 학생, 스스로, 제도","만족도조사와, 소정의, 학생들의, 교육혁신원에서는, 참석인증, 일반문의, 완료하여, 교과과정을, 참여자에게는, 교육과정혁신팀"
99 나만의 습관레시피 만들기온라인야간긍정습관 설계 프로그램,워크숍,학부KFL학부,나만의 좋은 습관과 데일리 루틴을 만들고 실천하면서 걸림돌을 점검하고 서로 함께 응원하는 과정을 통해 슬기로운 2학기를 보낼 수 있다., ,단과대학 ,전체,전체,25,50,25,0,0,0,"실천하면서, 응원하는, 과정을, 나만의, 습관과, 슬기로운, 2학기를, 점검하고, 만들고, 루틴을",
97 내 인생룸메가 되어줘 기숙사or자취생 라이프코칭 프로그램,워크숍,학부KFL학부,"룸메이트와 함께 지내면서 말 못할 갈등으로 끙끙 앓지 말고, 서로를 이해하며 유쾌-상쾌-통쾌하게 속시원히 소통하는 방법을 배울 수 있습니다.", ,단과대학 ,전체,전체,0,25,25,0,25,25,"지내면서, 소통하는, 이해하며, 속시원히, 말고, 갈등으로, 방법을, 룸메이트와, 배울, 서로를",
도서관 이용자교육_레포트 작성법 9월,교육특강,학부,과제수행시 계획수립에서 마무리까지의 과정에서 고려해야 할 내용을 살펴보고 A+레포트작성에 기여하고자 함.,"도서관 홈페이지를 통해 별도 신청하지 않아도 신청가능하며
교육당일 오전에 이메일과 문자로 Webex 참여URL을 발송해 드립니다
많은 신청 바랍니다
 ",단과대학 ,재학 휴학 수료 비재학 ,1학년 2학년 3학년 4학년 ,50,25,0,25,0,0,"레포트작성에, 과제수행시, 과정에서, 기여하고자, 살펴보고, 내용을, 마무리까지의, 고려해야, 계획수립에서","webex, 신청가능하며, 바랍니다, 드립니다, 이메일과, 신청하지, 교육당일, 발송해, 오전에, 참여url을"
92 나만의 습관레시피 만들기온라인야간긍정습관 설계 프로그램,-,학부KFL학부,나만의 좋은 습관과 데일리 루틴을 만들고 실천하면서 걸림돌을 점검하고 서로 함께 응원하는 과정을 통해 슬기로운 2학기를 보낼 수 있다., ,단과대학 ,재학 휴학 ,전체,25,50,0,0,25,0,"실천하면서, 응원하는, 과정을, 나만의, 습관과, 슬기로운, 2학기를, 점검하고, 만들고, 루틴을",
재무회계SK에코프라임 온라인 직무박람회,교육특강,학부KFL학부,주요 산업의 특성 및 직무에 대한 필요역량을 현직자로부터 직접 습득하고 조기직무목표설정을 돕는다,"   사전 질문 등록 URL 
 1 재무회계 직무의 이해
httpswwwpigeonholeatHH01 질의응답

2 유통물류 직무의 이해
httpswwwpigeonholeatHH02 질의응답

3 콘텐츠기획제작 직무의 이해
httpswwwpigeonholeatHH03 질의응답

4 개인금융 직무의 이해
httpswwwpigeonholeatHH04 질의응답

5 해외영업 직무의 이해
httpswwwpigeonholeatHH05 질의응답

6 영업관리 직무의 이해
httpswwwpigeonholeatHH06 질의응답

7 마케팅 직무의 이해
httpswwwpigeonholeatHH07 질의응답

8 인사노무 직무의 이해
httpswwwpigeonholeatHH08 질의응답

9 홍보 직무의 이해
httpswwwpigeonholeatHH09 질의응답

10 전략기획 직무의 이해
httpswwwpigeonholeatHH10 질의응답
   ",단과대학 ,전체,전체,25,25,0,25,25,0,"조기직무목표설정을, 현직자로부터, 산업의, 직접, 습득하고, 특성, 돕는다, 대한, 직무에, 주요","직무의, 질의응답, 영업관리, 질문, 이해, pigeonhole, 홍보, 등록, 인사노무, 사전"
개인금융SC제일은행 온라인 직무박람회,교육특강,학부KFL학부,주요 산업의 특성 및 직무에 대한 필요역량을 현직자로부터 직접 습득하고 조기직무목표설정을 돕는다,"   사전 질문 등록 URL 
 1 재무회계 직무의 이해
httpswwwpigeonholeatHH01 질의응답

2 유통물류 직무의 이해
httpswwwpigeonholeatHH02 질의응답

3 콘텐츠기획제작 직무의 이해
httpswwwpigeonholeatHH03 질의응답

4 개인금융 직무의 이해
httpswwwpigeonholeatHH04 질의응답

5 해외영업 직무의 이해
httpswwwpigeonholeatHH05 질의응답

6 영업관리 직무의 이해
httpswwwpigeonholeatHH06 질의응답

7 마케팅 직무의 이해
httpswwwpigeonholeatHH07 질의응답

8 인사노무 직무의 이해
httpswwwpigeonholeatHH08 질의응답

9 홍보 직무의 이해
httpswwwpigeonholeatHH09 질의응답

10 전략기획 직무의 이해
httpswwwpigeonholeatHH10 질의응답
   ",단과대학 ,전체,전체,25,25,0,25,25,0,"조기직무목표설정을, 현직자로부터, 산업의, 직접, 습득하고, 특성, 돕는다, 대한, 직무에, 주요","직무의, 질의응답, 영업관리, 질문, 이해, pigeonhole, 홍보, 등록, 인사노무, 사전"
마음으로크는나무 대학생을 위한 셀프리더십 특강,교육특강,학부KFL학부,학부생을 위한 2021학년도 수업연계형 진로·적응 프로그램으로 유용한 심리교육의 기회를 제공하고자 함., 신청기간 내 교수님의 신청으로 이루어지는 수업연계형 진로적응 프로그램,단과대학 ,재학 ,전체,25,50,25,0,0,0,"심리교육의, 제공하고자, 프로그램으로, 학부생을, 유용한, 2021학년도, 적응, 진로, 위한, 수업연계형","신청기간, 신청으로, 진로적응, 이루어지는, 교수님의, 프로그램, 수업연계형"
홍보글로벌최대주류기업 온라인 직무박람회,교육특강,학부KFL학부,주요 산업의 특성 및 직무에 대한 필요역량을 현직자로부터 직접 습득하고 조기직무목표설정을 돕는다,"   사전 질문 등록 URL 
 1 재무회계 직무의 이해
httpswwwpigeonholeatHH01 질의응답

2 유통물류 직무의 이해
httpswwwpigeonholeatHH02 질의응답

3 콘텐츠기획제작 직무의 이해
httpswwwpigeonholeatHH03 질의응답

4 개인금융 직무의 이해
httpswwwpigeonholeatHH04 질의응답

5 해외영업 직무의 이해
httpswwwpigeonholeatHH05 질의응답

6 영업관리 직무의 이해
httpswwwpigeonholeatHH06 질의응답

7 마케팅 직무의 이해
httpswwwpigeonholeatHH07 질의응답

8 인사노무 직무의 이해
httpswwwpigeonholeatHH08 질의응답

9 홍보 직무의 이해
httpswwwpigeonholeatHH09 질의응답

10 전략기획 직무의 이해
httpswwwpigeonholeatHH10 질의응답
   ",단과대학 ,전체,전체,25,25,0,25,25,0,"조기직무목표설정을, 현직자로부터, 산업의, 직접, 습득하고, 특성, 돕는다, 대한, 직무에, 주요","직무의, 질의응답, 영업관리, 질문, 이해, pigeonhole, 홍보, 등록, 인사노무, 사전"
마케팅하나금융파트너즈前딜리버리히어로 온라인 직무박람회,교육특강,학부KFL학부,주요 산업의 특성 및 직무에 대한 필요역량을 현직자로부터 직접 습득하고 조기직무목표설정을 돕는다,"   사전 질문 등록 URL 
 1 재무회계 직무의 이해
httpswwwpigeonholeatHH01 질의응답

2 유통물류 직무의 이해
httpswwwpigeonholeatHH02 질의응답

3 콘텐츠기획제작 직무의 이해
httpswwwpigeonholeatHH03 질의응답

4 개인금융 직무의 이해
httpswwwpigeonholeatHH04 질의응답

5 해외영업 직무의 이해
httpswwwpigeonholeatHH05 질의응답

6 영업관리 직무의 이해
httpswwwpigeonholeatHH06 질의응답

7 마케팅 직무의 이해
httpswwwpigeonholeatHH07 질의응답

8 인사노무 직무의 이해
httpswwwpigeonholeatHH08 질의응답

9 홍보 직무의 이해
httpswwwpigeonholeatHH09 질의응답

10 전략기획 직무의 이해
httpswwwpigeonholeatHH10 질의응답
   ",단과대학 ,전체,전체,25,25,0,25,25,0,"조기직무목표설정을, 현직자로부터, 산업의, 직접, 습득하고, 특성, 돕는다, 대한, 직무에, 주요","직무의, 질의응답, 영업관리, 질문, 이해, pigeonhole, 홍보, 등록, 인사노무, 사전"
해외영업자동차제조업 온라인 직무박람회,-,학부KFL학부,주요 산업의 특성 및 직무에 대한 필요역량을 현직자로부터 직접 습득하고 조기직무목표설정을 돕는다,"   사전 질문 등록 URL 
 1 재무회계 직무의 이해
httpswwwpigeonholeatHH01 질의응답

2 유통물류 직무의 이해
httpswwwpigeonholeatHH02 질의응답

3 콘텐츠기획제작 직무의 이해
httpswwwpigeonholeatHH03 질의응답

4 개인금융 직무의 이해
httpswwwpigeonholeatHH04 질의응답

5 해외영업 직무의 이해
httpswwwpigeonholeatHH05 질의응답

6 영업관리 직무의 이해
httpswwwpigeonholeatHH06 질의응답

7 마케팅 직무의 이해
httpswwwpigeonholeatHH07 질의응답

8 인사노무 직무의 이해
httpswwwpigeonholeatHH08 질의응답

9 홍보 직무의 이해
httpswwwpigeonholeatHH09 질의응답

10 전략기획 직무의 이해
httpswwwpigeonholeatHH10 질의응답
   ",단과대학 ,전체,전체,25,25,0,25,25,0,"조기직무목표설정을, 현직자로부터, 산업의, 직접, 습득하고, 특성, 돕는다, 대한, 직무에, 주요","직무의, 질의응답, 영업관리, 질문, 이해, pigeonhole, 홍보, 등록, 인사노무, 사전"
콘텐츠기획제작블라블라 온라인 직무박람회,-,학부KFL학부,주요 산업의 특성 및 직무에 대한 필요역량을 현직자로부터 직접 습득하고 조기직무목표설정을 돕는다,"   사전 질문 등록 URL 
 1 재무회계 직무의 이해
httpswwwpigeonholeatHH01 질의응답

2 유통물류 직무의 이해
httpswwwpigeonholeatHH02 질의응답

3 콘텐츠기획제작 직무의 이해
httpswwwpigeonholeatHH03 질의응답

4 개인금융 직무의 이해
httpswwwpigeonholeatHH04 질의응답

5 해외영업 직무의 이해
httpswwwpigeonholeatHH05 질의응답

6 영업관리 직무의 이해
httpswwwpigeonholeatHH06 질의응답

7 마케팅 직무의 이해
httpswwwpigeonholeatHH07 질의응답

8 인사노무 직무의 이해
httpswwwpigeonholeatHH08 질의응답

9 홍보 직무의 이해
httpswwwpigeonholeatHH09 질의응답

10 전략기획 직무의 이해
httpswwwpigeonholeatHH10 질의응답
   ",단과대학 ,전체,전체,25,25,0,25,25,0,"조기직무목표설정을, 현직자로부터, 산업의, 직접, 습득하고, 특성, 돕는다, 대한, 직무에, 주요","직무의, 질의응답, 영업관리, 질문, 이해, pigeonhole, 홍보, 등록, 인사노무, 사전"
